Keyword,Total Term Frequency,Total Document Frequency,DoV,DoD,quadrant_DoV,quadrant_DoD
reelecto,43,35,3.551040759034931e-05,0.0062247514130889985,Weak,Weak
sangre,125,81,3.548700143285003e-05,0.0046390124590132515,Weak,Weak
granada,85,60,3.5436670088640504e-05,0.005266846551891943,Weak,Weak
llama,110,74,3.542722912231133e-05,0.005002090373148914,Weak,Weak
flota,131,95,3.538818826320242e-05,0.005193707659631302,Weak,Weak
kings,58,35,3.5350434879001013e-05,0.00460340446773817,Weak,Weak
rafaga,73,50,3.529980147279866e-05,0.005102843759868865,Weak,Weak
enjuiciamiento,81,49,3.529680911214399e-05,0.0044456377106608345,Weak,Weak
piscina,97,60,3.5130336370762655e-05,0.004979996194542075,Weak,Weak
pato,8,5,3.503963859115625e-05,0.0044472681067344345,Weak,Weak
asedio,17,16,3.482414308643121e-05,0.006957864423477701,Weak,Weak
navidena,33,20,3.4684729341490084e-05,0.004567074577904487,Weak,Weak
laborde,8,6,3.462970266552517e-05,0.004963235294117647,Weak,Weak
armamento,131,84,3.457147664342611e-05,0.004639942336915929,Weak,Weak
watch,16,9,3.457145552379597e-05,0.004255957483284759,Weak,Weak
deslave,67,44,3.4490970015466554e-05,0.004737705708954688,Weak,Weak
l,124,98,3.448004314632545e-05,0.00574836689195829,Weak,Weak
iluminacion,24,19,3.4467972404599917e-05,0.005945044972724896,Weak,Weak
encapuchado,31,27,3.441956675032046e-05,0.006670267142762483,Weak,Weak
sinaloa,57,41,3.4364271608934405e-05,0.00524519479678426,Weak,Weak
oceano,110,80,3.434185715435873e-05,0.005082085115313491,Weak,Weak
induccion,42,27,3.4188091433967316e-05,0.0041230989478876975,Weak,Weak
tocoron,25,14,3.414028214758352e-05,0.004073148568431051,Weak,Weak
ferdinar,33,25,3.4089424736664844e-05,0.004896940342622849,Weak,Weak
paramilitar,23,14,3.3995709578505e-05,0.004224708141010482,Weak,Weak
escultura,16,11,3.397377834210278e-05,0.005160992664070723,Weak,Weak
pretendiar,114,107,3.3946301721124474e-05,0.006746540036806163,Weak,Weak
resguardo,130,105,3.37947213358623e-05,0.005599011454218011,Weak,Weak
olon,8,7,3.3769019903857616e-05,0.0061403508771929825,Weak,Weak
nuevoecuador,8,8,3.3769019903857616e-05,0.007017543859649122,Weak,Weak
cristiania,8,8,3.3769019903857616e-05,0.007017543859649122,Weak,Weak
acudirar,8,8,3.3769019903857616e-05,0.007017543859649122,Weak,Weak
chilibulo,8,8,3.3769019903857616e-05,0.007017543859649122,Weak,Weak
bombona,15,8,3.3762851523919417e-05,0.004078069098093662,Weak,Weak
calibre,123,100,3.371582517691887e-05,0.005867714900971044,Weak,Weak
antibala,80,64,3.367508963175094e-05,0.005798362307110284,Weak,Weak
estimado,140,95,3.363005905895776e-05,0.00458842768906644,Weak,Weak
honduras,146,102,3.35251269181416e-05,0.004722806627911714,Weak,Weak
motorizado,79,55,3.347467911868049e-05,0.0049072595474756306,Weak,Weak
asesino,96,73,3.341593930635676e-05,0.005369697340427813,Weak,Weak
robado,117,97,3.339767762635583e-05,0.00595908399118025,Weak,Weak
admisibilidad,23,17,3.332365770529633e-05,0.004807547108683285,Weak,Weak
hipotesis,96,72,3.330920214778065e-05,0.005005072619687757,Weak,Weak
narcoterrorista,23,19,3.324843702016201e-05,0.0062580326464380465,Weak,Weak
babahoyo,96,63,3.319331700427017e-05,0.004584461377032571,Weak,Weak
aquilesdah,15,13,3.316725891494907e-05,0.0065796032713008115,Weak,Weak
intimidacion,78,63,3.316230676268142e-05,0.005836937464693715,Weak,Weak
circuito,92,64,3.315609947129173e-05,0.004861543108124835,Weak,Weak
ruben,97,66,3.310560320284676e-05,0.00447274500189681,Weak,Weak
cabina,56,34,3.307110918762292e-05,0.00421532380941395,Weak,Weak
asevero,75,68,3.300931570672577e-05,0.006363179554956371,Weak,Weak
anoto,62,60,3.294718675736964e-05,0.006873847586497874,Weak,Weak
jhonny,22,17,3.291146948296382e-05,0.005195685106901272,Weak,Weak
secuestrador,62,42,3.2897073914786476e-05,0.004730524218970453,Weak,Weak
sic,15,10,3.288309531794145e-05,0.0049823457741751,Weak,Weak
vivianar,88,62,3.2745005192293656e-05,0.004746692576743035,Weak,Weak
desplegado,88,82,3.274296859727639e-05,0.006324203544879466,Weak,Weak
bano,130,88,3.265371317026531e-05,0.004501830678507746,Weak,Weak
variado,15,15,3.264907761258886e-05,0.00722294815284912,Weak,Weak
cohete,47,28,3.263386494873391e-05,0.004214422419891049,Weak,Weak
desmantelar,38,36,3.263078131295341e-05,0.006805730532842505,Weak,Weak
decomisado,89,76,3.249833709839941e-05,0.00583172674979352,Weak,Weak
tiro,98,89,3.24976333494055e-05,0.006180229431000834,Weak,Weak
antigubernamental,13,10,3.244942669133652e-05,0.00472709347205907,Weak,Weak
cuencamolleturoel,108,95,3.238378013689557e-05,0.006414057151388584,Weak,Weak
festividad,59,52,3.235158246318251e-05,0.006053543849985846,Weak,Weak
oleada,30,26,3.234701272872475e-05,0.006310299553186307,Weak,Weak
460,22,19,3.233344523318587e-05,0.006315770968285019,Weak,Weak
gye,92,84,3.231138072672684e-05,0.006230569154389053,Weak,Weak
verano,60,50,3.227074270248875e-05,0.005732017938157301,Weak,Weak
famoso,53,47,3.219265638298493e-05,0.006144574569974129,Weak,Weak
quiebra,41,31,3.219147468171014e-05,0.004569535860679914,Weak,Weak
investidura,64,39,3.217210727223597e-05,0.004176289323677173,Weak,Weak
libertario,38,30,3.217014631696632e-05,0.005452490245027523,Weak,Weak
discrecionalidad,7,5,3.216827289199338e-05,0.004331683168316831,Weak,Weak
amotinamiento,32,24,3.1904722584715564e-05,0.0054942060935859495,Weak,Weak
beaterio,8,5,3.1892681128004265e-05,0.004319654427645789,Weak,Weak
conquito,8,5,3.1892681128004265e-05,0.004319654427645789,Weak,Weak
3300,8,5,3.1892681128004265e-05,0.004319654427645789,Weak,Weak
bombardear,8,7,3.1892681128004265e-05,0.0060475161987041046,Weak,Weak
sergio,103,71,3.187563044371291e-05,0.004568229786990565,Weak,Weak
cunado,97,79,3.181836114081577e-05,0.005395122023859889,Weak,Weak
humo,74,53,3.1799842329468286e-05,0.0048627973538949865,Weak,Weak
quitumbe,149,101,3.1785418304613334e-05,0.004393299559392229,Weak,Weak
edwin,72,48,3.1768893053936924e-05,0.004269382908369252,Weak,Weak
vegetacion,53,41,3.17124091040668e-05,0.0053226982794308585,Weak,Weak
navideno,36,30,3.169484604842488e-05,0.005432175122794493,Weak,Weak
benny,7,5,3.164962359554795e-05,0.004918032786885246,Weak,Weak
pools,14,9,3.15746507268846e-05,0.003952895709644898,Weak,Weak
497,5,5,3.157362970447082e-05,0.005649717514124293,Weak,Weak
annelies,5,5,3.157362970447082e-05,0.005649717514124293,Weak,Weak
airlin,14,9,3.1551317281340933e-05,0.004498050942489454,Weak,Weak
irrumpir,21,20,3.145089477077342e-05,0.006695518538295807,Weak,Weak
jaque,7,7,3.142024219573157e-05,0.0072204125950054284,Weak,Weak
mudo,7,7,3.142024219573157e-05,0.0072204125950054284,Weak,Weak
10e,7,7,3.142024219573157e-05,0.0072204125950054284,Weak,Weak
increible,7,6,3.142024219573157e-05,0.006188925081433224,Weak,Weak
pedazo,7,4,3.142024219573157e-05,0.004125950054288816,Weak,Weak
planfenix,7,7,3.142024219573157e-05,0.0072204125950054284,Weak,Weak
defiendetubandera,7,7,3.142024219573157e-05,0.0072204125950054284,Weak,Weak
valentin,60,46,3.141584445698151e-05,0.005451049265664708,Weak,Weak
inminente,94,79,3.138102707143261e-05,0.005520827388370832,Weak,Weak
diputado,136,77,3.137619045152614e-05,0.004181295275075923,Weak,Weak
oliver,28,17,3.1355476362658494e-05,0.004119382662744838,Weak,Weak
religioso,95,67,3.134424788524646e-05,0.0044884269509181535,Weak,Weak
artificial,84,57,3.130902066999326e-05,0.004612131833636838,Weak,Weak
mariana,23,15,3.130038264828021e-05,0.004500473152615818,Weak,Weak
cierrevialquito,23,21,3.1298242558030645e-05,0.006100204659372558,Weak,Weak
recomiendir,8,5,3.117737089734142e-05,0.004351265822784811,Weak,Weak
disturbio,111,78,3.1105263401375575e-05,0.004472174037686029,Weak,Weak
